Day,Temperature
1,22.42520898178537
2,20.1951662396635
3,27.10713335694103
4,27.712236662221258
5,28.861784733129166
6,28.20025463963766
7,32.15910388398369
8,29.087810893110255
9,30.659044075664386
10,28.052409241233303
11,25.624393574367403
12,25.390895555692612
13,23.36409122262115
14,20.300939844789887
15,17.5697135585168
16,16.078102524155916
17,18.50763758789918
18,14.211847661402398
19,12.585082172010672
20,10.496350233670602
21,9.873003801896113
22,14.47210583387253
23,8.47188822485506
24,8.978189692494698
25,12.119165759483229
26,12.631701722301083
27,13.935225441217213
28,16.391331521875866
29,16.69878463921978
30,18.523380121265596
