Day,Temperature
1,0.600884636101259
2,0.803838532324018
3,0.9747799647588858
4,1.3285206035742583
5,1.2460638436820703
6,1.2653708758150444
7,1.1900517453654482
8,1.237242467650043
9,1.5193216262430216
10,1.0843245387604292
11,0.7005080420747157
12,0.8775944739582405
13,0.3815135912952095
14,0.2606683920089721
15,-0.1397501706317564
16,-0.328249224630183
17,-0.7438345631241905
18,-0.5600750833956759
19,-1.1425434611204304
20,-0.750410608107602
21,-0.8955960261094369
22,-1.3303676100528898
23,-1.514825392859677
24,-1.322615491614622
25,-1.3338379152206838
26,-0.47126748062748564
27,-1.109592749635557
28,-0.6046540866855309
29,-1.409067315352571
30,-0.0774416010860701
